Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom
1.36,1.9,72.983,-74.3332,351.685,364.335,373.243
1.36,1.94444,74.1005,-75.4512,351.685,364.483,373.243
1.36,1.98889,75.2181,-76.5692,351.685,364.625,373.243
1.36,2.03333,76.3355,-77.6871,351.684,364.762,373.243
1.36,2.07778,77.4529,-78.805,351.684,364.895,373.243
1.36,2.12222,78.5703,-79.9228,351.683,365.024,373.243
1.36,2.16667,79.6871,-81.0403,351.683,365.148,373.243
1.36,2.21111,80.8042,-82.1581,351.682,365.269,373.243
1.36,2.25556,81.9214,-83.2757,351.682,365.386,373.243
1.36,2.3,83.0384,-84.3934,351.681,365.499,373.243
1.40889,1.9,83.0384,-84.3934,351.681,365.499,373.243
1.40889,1.94444,83.0384,-84.3934,351.681,365.499,373.243
1.40889,1.98889,83.0384,-84.3934,351.681,365.499,373.243
1.40889,2.03333,70.1192,-71.4609,351.562,362.341,373.243
1.40889,2.07778,71.1455,-72.4877,351.562,363.29,373.243
1.40889,2.12222,72.1719,-73.5146,351.561,363.811,373.243
1.40889,2.16667,73.1923,-74.5383,351.56,363.83,373.243
1.40889,2.21111,74.2184,-75.5649,351.56,364.185,373.243
1.40889,2.25556,75.2445,-76.5915,351.559,364.432,373.243
1.40889,2.3,76.2681,-77.6168,351.559,364.622,373.243
1.45778,1.9,76.2681,-77.6168,351.559,364.622,373.243
1.45778,1.94444,76.2681,-77.6168,351.559,364.622,373.243
1.45778,1.98889,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.03333,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.07778,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.12222,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.16667,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.21111,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.25556,76.2681,-77.6168,351.559,364.622,373.243
1.45778,2.3,76.2681,-77.6168,351.559,364.622,373.243
1.50667,1.9,76.2681,-77.6168,351.559,364.622,373.243
1.50667,1.94444,76.2681,-77.6168,351.559,364.622,373.243
1.50667,1.98889,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.03333,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.07778,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.12222,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.16667,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.21111,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.25556,76.2681,-77.6168,351.559,364.622,373.243
1.50667,2.3,76.2681,-77.6168,351.559,364.622,373.243
1.55556,1.9,76.2681,-77.6168,351.559,364.622,373.243
1.55556,1.94444,76.2681,-77.6168,351.559,364.622,373.243
1.55556,1.98889,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.03333,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.07778,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.12222,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.16667,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.21111,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.25556,76.2681,-77.6168,351.559,364.622,373.243
1.55556,2.3,76.2681,-77.6168,351.559,364.622,373.243
1.60444,1.9,76.2681,-77.6168,351.559,364.622,373.243
1.60444,1.94444,76.2681,-77.6168,351.559,364.622,373.243
1.60444,1.98889,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.03333,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.07778,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.12222,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.16667,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.21111,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.25556,76.2681,-77.6168,351.559,364.622,373.243
1.60444,2.3,76.2681,-77.6168,351.559,364.622,373.243
1.65333,1.9,76.2681,-77.6168,351.559,364.622,373.243
1.65333,1.94444,76.2681,-77.6168,351.559,364.622,373.243
1.65333,1.98889,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.03333,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.07778,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.12222,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.16667,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.21111,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.25556,76.2681,-77.6168,351.559,364.622,373.243
1.65333,2.3,76.2681,-77.6168,351.559,364.622,373.243
1.70222,1.9,33.5794,-33.967,351.561,353.4,357.987
1.70222,1.94444,34.0918,-34.48,351.56,353.374,357.993
1.70222,1.98889,34.6034,-34.9912,351.558,353.35,358
1.70222,2.03333,35.1116,-35.4927,351.557,353.326,358.013
1.70222,2.07778,35.6232,-36.0036,351.555,353.303,358.02
1.70222,2.12222,35.6232,-36.0036,351.555,353.303,358.02
1.70222,2.16667,35.6232,-36.0036,351.555,353.303,358.02
1.70222,2.21111,35.6232,-36.0036,351.555,353.303,358.02
1.70222,2.25556,35.6232,-36.0036,351.555,353.303,358.02
1.70222,2.3,35.6232,-36.0036,351.555,353.303,358.02
1.75111,1.9,28.0019,-28.4077,351.561,353.428,357.342
