Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom
1.3,1.8,77.5589,-78.9143,351.903,364.958,373.243
1.3,1.84444,78.7886,-80.1446,351.903,365.096,373.243
1.3,1.88889,80.0182,-81.3749,351.902,365.23,373.243
1.3,1.93333,81.2478,-82.605,351.901,365.359,373.243
1.3,1.97778,82.4772,-83.8352,351.9,365.484,373.243
1.3,2.02222,83.7066,-85.0652,351.899,365.605,373.243
1.3,2.06667,84.9358,-86.2951,351.898,365.722,373.243
1.3,2.11111,86.1649,-87.525,351.898,365.835,373.243
1.3,2.15556,87.394,-88.7548,351.897,365.945,373.243
1.3,2.2,88.6229,-89.9845,351.896,366.052,373.243
1.32222,1.8,74.9276,-76.2807,351.819,364.624,373.243
1.32222,1.84444,76.1158,-77.4694,351.818,364.77,373.243
1.32222,1.88889,77.3039,-78.6581,351.817,364.91,373.243
1.32222,1.93333,78.4914,-79.8464,351.817,365.045,373.243
1.32222,1.97778,79.6793,-81.0349,351.816,365.177,373.243
1.32222,2.02222,80.8672,-82.2234,351.815,365.303,373.243
1.32222,2.06667,82.0549,-83.4117,351.815,365.426,373.243
1.32222,2.11111,83.2427,-84.6001,351.814,365.545,373.243
1.32222,2.15556,84.4303,-85.7884,351.813,365.66,373.243
1.32222,2.2,85.6178,-86.9765,351.812,365.772,373.243
1.34444,1.8,72.3023,-73.6532,351.738,364.26,373.243
1.34444,1.84444,73.449,-74.8004,351.738,364.413,373.243
1.34444,1.88889,74.5956,-75.9475,351.737,364.561,373.243
1.34444,1.93333,75.7422,-77.0945,351.737,364.704,373.243
1.34444,1.97778,76.8887,-78.2415,351.736,364.843,373.243
1.34444,2.02222,78.0351,-79.3885,351.736,364.976,373.243
1.34444,2.06667,79.181,-80.5351,351.735,365.104,373.243
1.34444,2.11111,80.3273,-81.682,351.735,365.23,373.243
1.34444,2.15556,81.4736,-82.8288,351.734,365.351,373.243
1.34444,2.2,82.6197,-83.9755,351.733,365.468,373.243
1.36667,1.8,69.6886,-71.0344,351.668,363.876,373.243
1.36667,1.84444,70.7943,-72.1403,351.668,364.038,373.243
1.36667,1.88889,71.8935,-73.2429,351.665,364.179,373.243
1.36667,1.93333,72.9987,-74.3485,351.664,364.33,373.243
1.36667,1.97778,74.1038,-75.454,351.664,364.476,373.243
1.36667,2.02222,75.2089,-76.5596,351.663,364.617,373.243
1.36667,2.06667,76.3139,-77.665,351.663,364.754,373.243
1.36667,2.11111,77.4189,-78.7705,351.663,364.886,373.243
1.36667,2.15556,78.5238,-79.8758,351.662,365.013,373.243
1.36667,2.2,79.6286,-80.9812,351.662,365.137,373.243
1.38889,1.8,67.0734,-68.4174,351.605,363.434,373.243
1.38889,1.84444,68.1377,-69.4819,351.605,363.607,373.243
1.38889,1.88889,69.2019,-70.5463,351.605,363.773,373.243
1.38889,1.93333,70.2662,-71.6108,351.604,363.934,373.243
1.38889,1.97778,71.3304,-72.6752,351.604,364.089,373.243
1.38889,2.02222,72.388,-73.7362,351.602,364.223,373.243
1.38889,2.06667,73.4517,-74.8003,351.602,364.368,373.243
1.38889,2.11111,74.5154,-75.8643,351.601,364.507,373.243
1.38889,2.15556,75.579,-76.9283,351.601,364.642,373.243
1.38889,2.2,76.6425,-77.9923,351.601,364.773,373.243
1.41111,1.8,76.6425,-77.9923,351.601,364.773,373.243
1.41111,1.84444,76.6425,-77.9923,351.601,364.773,373.243
1.41111,1.88889,76.6425,-77.9923,351.601,364.773,373.243
1.41111,1.93333,76.6425,-77.9923,351.601,364.773,373.243
1.41111,1.97778,76.6425,-77.9923,351.601,364.773,373.243
1.41111,2.02222,76.6425,-77.9923,351.601,364.773,373.243
1.41111,2.06667,76.6425,-77.9923,351.601,364.773,373.243
1.41111,2.11111,76.6425,-77.9923,351.601,364.773,373.243
1.41111,2.15556,76.6425,-77.9923,351.601,364.773,373.243
1.41111,2.2,73.6605,-75.0082,351.547,356.995,373.246
